id,genero,idgenero,año_ingreso,semestre_trimestre,idprograma,programa,facultad,campus,sede,jornada,duracionprograma,añooportuno,estadoalumno,idestadoalumno,tipoprograma
3925,Mujer,0,2014,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2016,Desertor,0,Magíster
3926,Hombre,1,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
3927,Hombre,1,2015,2,IPPG35348,MBA con Especialización en Salud,IPPG,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
3928,Hombre,1,2017,2,UNAB25317,Magister en Administración de Empresas,Economía y Negocios,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
3929,Mujer,0,2015,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
3930,Hombre,1,2018,1,UNAB25893,Magíster en Rendimiento Deportivo,Educación y Ciencias Sociales,CAS,Santiago,Vespertina,4,2020,Activo,1,Magíster
3931,Mujer,0,2016,2,UNAB25317,Magister en Administración de Empresas,Economía y Negocios,CAS,Santiago,Vespertina,4,2019,Desertor,0,Magíster
3932,Mujer,0,2015,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
3933,Hombre,1,2016,1,UNAB25491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,CON,Concepción,Vespertina,3,2018,Desertor,0,Magíster
3934,Mujer,0,2015,1,UNAB25311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2017,Desertor,0,Magíster
3935,Mujer,0,2014,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2016,Desertor,0,Magíster
3936,Mujer,0,2018,1,UNAB25391,Magister en Gestión de la Actividad Física y Deportiva,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
3937,Hombre,1,2017,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2019,Desertor,0,Magíster
3938,Mujer,0,2016,1,UNAB25317,Magister en Administración de Empresas,Economía y Negocios,CAS,Santiago,Vespertina,4,2018,Desertor,0,Magíster
3939,Hombre,1,2017,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2019,Desertor,0,Magíster
3940,Mujer,0,2017,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
3941,Mujer,0,2017,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
3942,Hombre,1,2015,1,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CON,Concepción,Diurna,4,2017,Desertor,0,Magíster
3943,Mujer,0,2018,1,UNAB26220,Magister en Comprensión Lectora y Producción de Textos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
